monthly_income,monthly_expenses,current_savings,monthly_sip,financial_goal,time_horizon_years,risk_profile,income_stability,savings_ratio,expense_ratio,disposable_income,sip_ratio,financial_buffer,goal_pressure,surplus_after_sip,goal_feasibility_ratio,recommended_investment_type,investment_capacity_ratio,savings_to_goal_ratio,liquidity_stress
146958,25795,141932,39158,6650634,8,0,0,0.9657997523101839,0.17552634085929314,121163,0.2664570829760884,5.502306648575305,69277.4375,82005,0.5652345325272748,Growth,0.3231844705066728,0.02134112326734564,0.44198342383538153
79886,16265,1009890,30910,9624682,4,2,1,12.641639336053876,0.20360263375309817,63621,0.38692637007736025,62.089763295419615,200514.20833333334,32711,0.15415366450548704,Aggressive,0.48584586850253847,0.10492710304610584,0.5905290038304584
89820,10769,1380455,3433,9280351,1,1,1,15.36912714317524,0.11989534624805166,79051,0.0382208862168782,128.18785402544341,773362.5833333334,75618,0.004439056238282366,Aggressive,0.04342766062415403,0.14875030050048754,0.15811623246492987
228004,140608,1558762,26658,6213790,10,2,1,6.836555499026333,0.61669093524675,87396,0.11691900142102771,11.08586993627674,51781.583333333336,60738,0.5148162393643815,Aggressive,0.30502540162021147,0.2508552751219465,0.7336099366677777
154981,94654,963277,54810,8342680,3,0,2,6.215452216723341,0.6107458333602184,60327,0.35365625463766526,10.176822955184145,231741.11111111112,5517,0.23651392598062013,Growth,0.9085484111591825,0.1154637358738439,0.9644020879978836
66606,40740,1315416,15502,6740913,4,0,1,19.749211782722277,0.6116566075128367,25866,0.23274179503348047,32.2880706921944,140435.6875,10364,0.11038504724805082,Balanced,0.5993195700920126,0.19513914509800082,0.8443984025463172
230041,184073,1790488,24897,168148,2,2,2,7.783342969296777,0.800174751457349,45968,0.10822853317452107,9.727053940556193,7006.166666666667,21071,3.5535837476508787,Aggressive,0.5416159067177166,10.64828603373219,0.9084032846318699
73555,27159,906942,9226,1970928,4,1,1,12.33012031812929,0.36923390660050304,46396,0.1254299503772687,33.39379211311167,41061.0,37170,0.22469009522417865,Aggressive,0.1988533494266747,0.46015988407491293,0.4946638569777717
222629,88953,1373715,41757,371836,18,1,1,6.170422541537715,0.3995571107088475,133676,0.18756316562532285,15.443155374186368,1721.462962962963,91919,24.25669381125012,Aggressive,0.3123746970286364,3.6944109768822813,0.5871202763341703
62065,36557,1682163,12534,664685,8,0,0,27.10324659631032,0.589011520180456,25508,0.2019495690002417,46.01479880734196,6923.802083333333,12974,1.8102770485267459,Aggressive,0.4913752548220166,2.5307672055184036,0.7909610891806976
230137,92798,543556,87807,5617209,13,0,0,2.3618800975071372,0.4032293807601559,137339,0.38154229871772033,5.857410720058622,36007.75,49532,2.4385583659073395,Aggressive,0.6393449784838975,0.0967662054233695,0.7847716794778762
76214,59216,58984,9006,6656168,1,2,2,0.77392605033196,0.7769701104783898,16998,0.11816726585666676,0.9960821399621724,554680.6666666666,7992,0.016236369033954673,Growth,0.5298270384751147,0.008861555177092886,0.8951373763350565
243610,49504,1747095,14986,4880450,1,2,0,7.17168835433685,0.20321004884856944,194106,0.06151635811337794,35.29199660633484,406704.1666666667,179120,0.03684742185659109,Aggressive,0.07720523837490856,0.3579782602014159,0.2647264069619474
159633,36854,860937,39952,3953339,7,0,1,5.393226964349477,0.23086705129891688,122779,0.25027406613920683,23.360747815705214,47063.55952380953,82827,0.8488945673518006,Aggressive,0.3253976657245946,0.21777464568558375,0.4811411174381237
77256,33599,923910,3454,3847389,5,2,1,11.959071140105623,0.43490473231852544,43657,0.04470850160505333,27.498139825590048,64123.15,40203,0.0538651017612204,Aggressive,0.07911675103648899,0.24013948160687676,0.47961323392357874
49538,15056,501234,15948,5501218,1,0,1,10.11817190843393,0.30392829746860994,34482,0.32193467641002865,33.2913124335813,458434.8333333333,18534,0.034787932417875464,Growth,0.46250217504785107,0.09111327709609035,0.6258629738786387
123806,16910,907421,26446,5988794,9,2,2,7.329378220764744,0.13658465664022745,106896,0.21360838731563897,53.66179775280899,55451.7962962963,80450,0.47691872520577594,Aggressive,0.24739934141595568,0.15151982185394922,0.3501930439558664
243969,132409,1606283,51636,869598,7,0,0,6.58396353635093,0.5427287893133964,111560,0.21164984075845703,12.131222197886851,10352.357142857143,59924,4.987849558071661,Aggressive,0.46285406955898173,1.847155812225879,0.7543786300718534
135687,97939,1469933,15820,1073548,15,2,0,10.833263319256819,0.7218009094460044,37748,0.1165918621533382,15.008658450668273,5964.155555555555,21928,2.6525129756657364,Aggressive,0.4190950513934513,1.3692289492412077,0.8383927715993426
189899,72623,1009238,23299,143585,10,0,1,5.314604079010421,0.3824296073175741,117276,0.12269153602704595,13.896947248116987,1196.5416666666667,93977,19.47195041264756,Aggressive,0.19866809918482894,7.02885398892642,0.50512114334462
205152,119556,1585557,70163,8406461,11,1,2,7.728693846513805,0.5827678989237248,85596,0.34200495242551865,13.262044564890093,63685.31060606061,15433,1.1017140268657644,Aggressive,0.8196995186690967,0.1886117118725704,0.9247728513492435
171779,54262,397261,24776,5995544,20,0,0,2.3126284353733575,0.31588261661786365,117517,0.14423183276186263,7.321163982160628,24981.433333333334,92741,0.9917765593914414,Aggressive,0.2108290715385859,0.0662593752960532,0.4601144493797263
165546,31959,1719466,30320,2054109,5,0,2,10.386635738707067,0.19305208220071762,133587,0.18315151075833908,53.80224662849275,34235.15,103267,0.8856394670389935,Aggressive,0.22696819301279317,0.8370860553164413,0.3762035929590567
38545,10663,175838,8994,161087,9,0,1,4.561888701517707,0.2766376961992476,27882,0.23333765728369438,16.490481102879116,1491.5462962962963,18888,6.029983797575223,Aggressive,0.3225737034646008,1.0915716352033373,0.509975353482942
202648,49353,203075,53733,4359622,2,2,0,1.0021071019699184,0.2435405234692669,153295,0.26515435632229284,4.114744797682005,181650.91666666666,99562,0.29580362701169965,Aggressive,0.350520238755341,0.04658087329589584,0.5086948797915597
92172,36736,235281,1854,5695108,1,0,2,2.5526298659028774,0.3985592153799418,55436,0.02011456841557089,6.4046439459930316,474592.3333333333,53582,0.003906510640360112,Balanced,0.03344397142650985,0.04131282497188815,0.41867378379551273
202789,60859,135657,27309,1219043,11,2,0,0.6689564029607129,0.3001099665169215,141930,0.13466706774036066,2.2290376115282866,9235.174242424242,114621,2.957063860749785,Aggressive,0.19241175227224688,0.11128155446526497,0.4347770342572822
50342,12327,378452,8777,3180389,11,2,0,7.517619482738072,0.2448651225616781,38015,0.17434746335068135,30.701062707877018,24093.85606060606,29238,0.3642837401336755,Aggressive,0.23088254636327765,0.11899550652451633,0.41921258591235944
118384,52107,1669066,45357,2248815,3,2,2,14.098746452223274,0.44015238545749424,66277,0.383134545208812,32.03151208091043,62467.083333333336,20920,0.7260944097224538,Aggressive,0.684355055298218,0.7421980020588621,0.8232869306663062
149249,44754,1809678,42106,4436787,7,0,0,12.125226969694939,0.29986130560338764,104495,0.2821191431768387,40.436117442016354,52818.892857142855,62389,0.797176875969029,Aggressive,0.4029475094502129,0.4078802971609861,0.5819804487802264
